row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
0,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'artifici', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'with', 'simpl', 'process', 'unit', 'that', 'has', 'the', 'natur', 'propens', 'to', 'store', 'experienti', 'knowledg', 'and', 'make', 'use', 'of', 'them', 'an', 'artifici', 'neural', 'network', 'is', 'similar', 'to', 'the', 'human', 'brain', 'in', 'two', 'way', '1', 'the', 'ann', 'work', 'by', 'the', 'process', 'of', 'learn', 'from', 'it', 'environ', '2', 'interneuron', 'connect', 'call', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'knowledg', 'gain']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
1,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['artifici', 'neural', 'network', 'consist', 'of', 'larg', 'parallel', 'distribut', 'processor', 'simpl', 'process', 'unit', 'that', 'has', 'abil', 'to', 'store', 'the', 'experenti', 'knowledg', 'and', 'make', 'it', 'avail', 'to', 'use', 'it', 'resembl', 'to', 'human', 'brain', 'in', 'two', 'way', 'knowledg', 'is', 'acquir', 'from', 'the', 'environ', 'by', 'the', 'network', 'as', 'learn', 'process', 'synapt', 'strength', 'call', 'weight', 'are', 'use', 'to', 'store', 'the', 'knowledg']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
2,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'artifici', 'neural', 'network', 'is', 'a', 'massiv', 'distribut', 'processor', 'it', 'consist', 'of', 'sever', 'inform', 'process', 'unit', 'which', 'are', 'abl', 'to', 'acquir', 'and', 'store', 'knowledg']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",1,2,neural_networks,neural_course
3,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'ann', 'is', 'a', 'layer', 'graphic', 'model', 'contain', 'neuron', 'and', 'weight', 'connect', 'resembl', 'the', 'excitatori', 'properti', 'of', 'the', 'human', 'brain', 'weight', 'of', 'the', 'ann', 'are', 'chang', 'after', 'present', 'it', 'train', 'exampl', 'from', 'an', 'environ', 'where', 'weight', 'are', 'chang', 'base', 'on', 'the', 'train', 'procedur', 'use', 'artifici', 'neuron', 'also', 'are', 'bias', 'just', 'like', 'real', 'one', 'ad', 'a', 'constant', 'level', 'of', 'activ', 'befor', 'be', 'activ', 'by', 'a', 'nonlinear', 'activ', 'function', 'depend', 'on', 'the', 'train', 'procedur', 'both', 'weight', 'topolog', 'or', 'even', 'activ', 'function', 'may', 'be', 'learn']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
4,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['artifici', 'neural', 'network', 'are', 'larg', 'parallel', 'process', 'unit', 'that', 'have', 'the', 'natur', 'abil', 'to', 'learn', 'experienti', 'knowledg', 'they', 'are', 'compos', 'of', 'interconnect', 'neuron', 'as', 'basic', 'unit', 'which', 'in', 'turn', 'cosist', 'of', 'weight', 'squash', 'function', 'and', 'adder', 'function', 'ann', 'resembl', 'brain', 'in', 'the', 'manner', 'that', 'like', 'in', 'human', 'brain', 'it', 'is', 'compos', 'of', 'a', 'network', 'of', 'neuron', 'which', 'help', 'in', 'learn', 'by', 'adjust', 'the', 'synapt', 'weight', 'of', 'the', 'connect', 'between', 'neuron', 'this', 'enabl', 'it', 'to', 'learn', 'experienti', 'knowledg']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
5,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'artici', 'neural', 'network', 'consist', 'of', 'neuron', 'each', 'neuron', 'can', 'have', 'sever', 'weight', 'input', 'an', 'activ', 'function', 'and', 'output', 'usual', 'sever', 'neuron', 'are', 'connect', 'togeth', 'often', 'in', 'layer', 'the', 'network', 'then', 'calcul', 'the', 'output', 'given', 'an', 'input', 'to', 'the', 'network', 'the', 'human', 'brain', 'work', 'in', 'a', 'similar', 'way', 'it', 'also', 'consit', 'of', 'neuron', 'that', 'are', 'connect', 'in', 'sever', 'way']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",1,2,neural_networks,neural_course
6,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'ann', 'is', 'a', 'massivli', 'parallel', 'distibut', 'processor', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'which', 'have', 'the', 'capabl', 'of', 'store', 'experiant', 'knowleng', 'and', 'is', 'made', 'up', 'for', 'use', 'an', 'ann', 'resembl', 'the', 'brain', 'becaus', '1', 'it', 'get', 'it', 'knowleng', 'through', 'a', 'learn', 'process', 'from', 'it', 'environ', '2', 'it', 'store', 'it', 'knowleng', 'in', 'it', 'interneuron', 'connect', 'synapt', 'weight']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
7,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['a', 'ann', 'is', 'a', 'massiv', 'distribut', 'processor', 'it', 'has', 'the', 'propens', 'to', 'store', 'experient', 'knowledg', 'and', 'make', 'it', 'avail', 'for', 'use', 'the', 'knowledg', 'is', 'gain', 'throug', 'a', 'process', 'of', 'learn', 'the', 'knowledg', 'is', 'store', 'in', 'the', 'weight', 'between', 'the', 'neuron', 'this', 'structur', 'resembl', 'the', 'structur', 'of', 'the', 'brain', 'neuron', 'are', 'a', 'the', 'basic', 'inform', 'unit', 'in', 'the', 'ann', 'and', 'act', 'similiar', 'to', 'real', 'neuron']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
8,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'artifici', 'neural', 'network', 'is', 'defin', 'as', 'a', 'learn', 'machin', 'which', 'is', 'divid', 'by', 'layer', 'and', 'each', 'layer', 'is', 'compos', 'by', 'neuron', 'the', 'neuron', 'from', 'differ', 'layer', 'can', 'be', 'connect', 'between', 'each', 'other', 'and', 'give', 'an', 'output', 'or', 'multipl', 'output', 'by', 'a', 'given', 'input', 'this', 'structur', 'is', 'veri', 'similar', 'with', 'the', 'neurolog', 'structur', 'of', 'our', 'brain', 'where', 'neuron', 'are', 'interconnect', 'by', 'synaps', 'also', 'import', 'to', 'mention', 'if', 'a', 'featur', 'is', 'realli', 'import', 'for', 'a', 'given', 'task', 'this', 'wil', 'have', 'more', 'connect', 'and', 'neuron', 'particip', 'like', 'in', 'the', 'human', 'brain', 'the', 'import', 'humasn', 'function', 'have', 'more', 'synaps']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
9,"['give', 'a', 'definit', 'for', 'the', 'term', 'artifici', 'neural', 'network', 'and', 'mention', 'how', 'it', 'resembl', 'the', 'human', 'brain']",222,"['an', 'artifici', 'neural', 'network', 'is', 'a', 'graph', 'of', 'small', 'and', 'ident', 'process', 'unit', 'that', 'these', 'small', 'unit', 'call', 'neuron', 'and', 'they', 'are', 'connect', 'to', 'each', 'other', 'in', 'differ', 'architectur', 'and', 'the', 'whole', 'network', 'adapt', 'and', 'itself', 'to', 'the', 'environ', 'input', 'by', 'tri', 'to', 'decreas', 'the', 'error', 'or', 'the', 'cost', 'function', 'and', 'increas', 'it', 'precis', 'by', 'manipul', 'the', 'free', 'variabl', 'of', 'the', 'network', 'which', 'are', 'the', 'synapt', 'weight', 'it', 'is', 'similar', 'to', 'human', 'brain', 'becaus', 'similar', 'to', 'the', 'human', 'brain', 'we', 'have', 'mani', 'small', 'process', 'unit', 'that', 'are', 'connect', 'togeth', 'and', 'they', 'react', 'to', 'the', 'environ', 'and', 'learn', 'from', 'the', 'environ']","['a', 'neural', 'network', 'is', 'a', 'massiv', 'parallel', 'distribut', 'processor', 'which', 'is', 'made', 'up', 'of', 'simpl', 'process', 'unit', 'it', 'has', 'a', 'natur', 'propens', 'for', 'store', 'experienti', 'knowledg', 'neural', 'network', 'resembl', 'the', 'brain', 'in', 'two', 'aspect', 'knowledg', 'is', 'acquir', 'by', 'the', 'network', 'from', 'it', 'environ', 'through', 'a', 'learn', 'process', 'interneuron', 'connect', 'strength', 'known', 'as', 'synapt', 'weight', 'are', 'use', 'to', 'store', 'the', 'acquir', 'knowledg']",2,2,neural_networks,neural_course
