row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,left_out_dataset,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
0,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,neural_course,validation,42,,0,0,True,64,2023-05-30 03:09:40,0.6779470509957748,0.2426176055875368,0.0514994724072662,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
1,True,embed_words_glove,avg,cosine_similarity,Linear Regression,neural_course,validation,42,,0,0,True,64,2023-05-30 03:09:40,0.6972754010010466,0.3926757056104408,0.0012145375921684,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
2,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,neural_course,validation,42,,0,0,True,64,2023-05-30 03:09:40,0.6973759457105423,0.3926757056104294,0.0012145375921689,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
3,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,,0,0,True,3754,2023-05-30 03:09:40,0.7901825336034601,0.3419164008066891,1.8246639112811365e-103,0.466844207723036,0.2234615439884498,0.2242885054690995,0.2190990088392947,0.466844207723036,0.466844207723036,0.466844207723036,0.4713157022072917,0.466844207723036,0.4603922472239667
4,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,,0,0,True,17206,2023-05-30 03:09:40,0.945051279897607,0.4623654877628432,0.0,0.308479107340036,0.371216104420995,0.2839272670389028,0.1968750793171723,0.308479107340036,0.308479107340036,0.308479107340036,0.5308565245195879,0.308479107340036,0.2147608654862959
5,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,neural_course,validation,42,,0,0,True,64,2023-05-30 03:12:30,0.6779470509957748,0.2426176055875368,0.0514994724072662,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
6,True,embed_words_glove,avg,cosine_similarity,Linear Regression,neural_course,validation,42,,0,0,True,64,2023-05-30 03:12:30,0.6972754010010466,0.3926757056104408,0.0012145375921684,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
7,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,neural_course,validation,42,,0,0,True,64,2023-05-30 03:12:30,0.6973759457105423,0.3926757056104294,0.0012145375921689,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
8,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,,0,0,True,3754,2023-05-30 03:12:30,0.7901825336034601,0.3419164008066891,1.8246639112811365e-103,0.466844207723036,0.2234615439884498,0.2242885054690995,0.2190990088392947,0.466844207723036,0.466844207723036,0.466844207723036,0.4713157022072917,0.466844207723036,0.4603922472239667
9,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,ASAP_sas,0,0,True,17206,2023-05-30 03:12:30,0.945051279897607,0.4623654877628432,0.0,0.308479107340036,0.371216104420995,0.2839272670389028,0.1968750793171723,0.308479107340036,0.308479107340036,0.308479107340036,0.5308565245195879,0.308479107340036,0.2147608654862959
10,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,beetle,0,0,True,6617,2023-05-30 03:12:30,0.4574917702746705,0.3731954834796941,8.93297990374527e-218,0.6847990329404654,0.6812379252158176,0.6508469720842223,0.6518478422161578,0.6847990329404654,0.6847990329404654,0.6847990329404654,0.6826599208089588,0.6847990329404654,0.6706539736609738
11,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,neural_course,0,0,True,645,2023-05-30 03:12:30,0.8260323899547977,0.0482365147443747,0.2208227956608868,0.3359133126934984,0.1124935199585277,0.3302891933028919,0.1678267594740912,0.3359133126934984,0.3359133126934984,0.3359133126934984,0.1144090442921868,0.3359133126934984,0.1706844906725665
12,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,sciEntsBank,0,0,True,10803,2023-05-30 03:12:30,0.474463086578708,0.2978979948551344,2.6947805632808324e-220,0.6385597926693817,0.6648280929764491,0.575953733791337,0.5419891647273766,0.6385597926693817,0.6385597926693817,0.6385597926693817,0.6586630837207087,0.6385597926693817,0.5787019654326017
13,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,texas,0,0,True,2272,2023-05-30 03:12:31,2.512311510534961,0.3674949845215924,1.2856991444600489e-73,0.0439947206335239,0.0415160328160803,0.2358869159716617,0.0598454531642443,0.0439947206335239,0.0439947206335239,0.0439947206335239,0.0116253103528254,0.0439947206335239,0.0176740507783576
